prefecture,area,pop_density
北海道,83423.82,62.62736470231164
青森県,9645.64,128.34648608075773
岩手県,15275.01,79.2493098204191
宮城県,7282.22,316.11184501429506
秋田県,11637.52,82.44900975465563
山形県,9323.15,114.55645355915117
福島県,13783.9,132.99225908487438
茨城県,6097.19,470.2180840682348
栃木県,6408.09,301.6727293155995
群馬県,6362.28,304.7822478734039
埼玉県,3797.75,1933.9780132973472
千葉県,5157.61,1218.4868572846726
東京都,2194.03,6402.644448799697
神奈川県,2416.11,3823.227005392966
新潟県,12584.18,174.92375347460066
富山県,4247.61,243.62264897201013
石川県,4186.09,270.5450671151361
福井県,4190.52,182.9994845508433
山梨県,4465.27,181.39418221070616
長野県,13561.56,151.01588607800284
岐阜県,10621.29,186.2995926106904
静岡県,7777.43,467.1468595667206
愛知県,5173.07,1458.0152597973738
三重県,5774.49,306.5645624115723
滋賀県,4017.38,351.8736091681643
京都府,4612.2,558.9712067993582
大阪府,1905.32,4638.425566309072
兵庫県,8401.02,650.5164849030236
奈良県,3690.94,358.84435943147275
和歌山県,4724.65,195.2703374853164
鳥取県,3507.13,157.79483509308182
島根県,6708.26,100.0447209857698
岡山県,7114.33,265.4405966549204
広島県,8479.63,330.1679436484847
山口県,6112.54,219.5583178187791
徳島県,4146.75,173.52360282148672
香川県,1876.78,506.3161372137384
愛媛県,5676.19,235.1649610037719
高知県,7103.63,97.34839793176164
福岡県,4986.51,1029.8212577534186
佐賀県,2440.69,332.53055488406966
長崎県,4130.98,317.67691927823427
熊本県,7409.46,234.60562578109605
大分県,6340.76,177.24247566537764
宮崎県,7735.22,138.2735074115539
鹿児島県,9187.06,172.8796807683851
沖縄県,2282.59,642.9012656675093
