,hba1c_mean,bmi_obesity_rate,waist_mean,triglycerides_mean,avg_slope_weighted,walkability_index,pop_density,did_ratio,aging_rate,income_per_capita,unemployment_rate,exercise_habit_rate,college_graduate_rate
hba1c_mean,1.0,0.23486224325523222,0.3349225767314149,0.10926257025076774,0.06601435868250954,-0.5459717204328367,-0.5028367910705428,-0.5116206106056005,0.23003374678496372,-0.45255594173966857,0.26141012195983415,0.34376412502650566,-0.48969606504351315
bmi_obesity_rate,0.23486224325523222,1.0,0.8029404844393994,0.5215825223110148,-0.4009347136706177,-0.13201316156307907,-0.16393722911418573,-0.08135336718293248,-0.006596889114694439,-0.3809351841125091,0.6878730585517661,0.31684339397918115,-0.5090397299754102
waist_mean,0.3349225767314149,0.8029404844393994,1.0,0.4178863464341756,-0.4755690044461114,-0.04942786497550253,-0.07686013925374523,-0.014980631242015048,-0.15527346008756127,-0.2989604607486457,0.5065371560922459,0.22382003344188917,-0.4336942398252056
triglycerides_mean,0.10926257025076774,0.5215825223110148,0.4178863464341756,1.0,-0.046202652395832385,-0.36156501689560255,-0.3159621142913979,-0.3558534648857014,0.21473191460281452,-0.39132451025604403,0.26544683418522563,0.07645961320337373,-0.36382986484939994
avg_slope_weighted,0.06601435868250954,-0.4009347136706177,-0.4755690044461114,-0.046202652395832385,1.0,-0.4032617368889873,-0.34526685468793383,-0.404024433651121,0.5046942742671646,-0.24147443792049073,-0.12656595644684251,-0.07259734692546278,-0.03727987200537308
walkability_index,-0.5459717204328367,-0.13201316156307907,-0.04942786497550253,-0.36156501689560255,-0.4032617368889873,1.0,0.9290384132642429,0.9290384132642429,-0.7165306365794107,0.7917546055158681,-0.16792924694207925,-0.4735529235778397,0.6829475754804569
pop_density,-0.5028367910705428,-0.16393722911418573,-0.07686013925374523,-0.3159621142913979,-0.34526685468793383,0.9290384132642429,1.0,0.726224746641084,-0.6282131000900646,0.7951546674250568,-0.22906060689067043,-0.43117703400440055,0.6005337897462107
did_ratio,-0.5116206106056005,-0.08135336718293248,-0.014980631242015048,-0.3558534648857014,-0.404024433651121,0.9290384132642429,0.726224746641084,1.0,-0.7031558712358424,0.6759862173811804,-0.08296483534878656,-0.4487206794303988,0.6684352739878399
aging_rate,0.23003374678496372,-0.006596889114694439,-0.15527346008756127,0.21473191460281452,0.5046942742671646,-0.7165306365794107,-0.6282131000900646,-0.7031558712358424,1.0,-0.713712050227629,0.1748682184696773,0.4218778842665268,-0.5272639295366861
income_per_capita,-0.45255594173966857,-0.3809351841125091,-0.2989604607486457,-0.39132451025604403,-0.24147443792049073,0.7917546055158681,0.7951546674250568,0.6759862173811804,-0.713712050227629,1.0,-0.46946330939016817,-0.4995443910831707,0.785711705973624
unemployment_rate,0.26141012195983415,0.6878730585517661,0.5065371560922459,0.26544683418522563,-0.12656595644684251,-0.16792924694207925,-0.22906060689067043,-0.08296483534878656,0.1748682184696773,-0.46946330939016817,1.0,0.32158689206094243,-0.36250162458422397
exercise_habit_rate,0.34376412502650566,0.31684339397918115,0.22382003344188917,0.07645961320337373,-0.07259734692546278,-0.4735529235778397,-0.43117703400440055,-0.4487206794303988,0.4218778842665268,-0.4995443910831707,0.32158689206094243,1.0,-0.6390534683977963
college_graduate_rate,-0.48969606504351315,-0.5090397299754102,-0.4336942398252056,-0.36382986484939994,-0.03727987200537308,0.6829475754804569,0.6005337897462107,0.6684352739878399,-0.5272639295366861,0.785711705973624,-0.36250162458422397,-0.6390534683977963,1.0
