Model,R2,Adj_R2,F,F_p,Shapiro_p,BP_p,Max_Cooks_D,Influential_points
HbA1c平均値_Model1_Walkability,0.36584201153936713,0.32159843094909046,8.268815648699267,0.00018659542155803974,0.3539549598135935,0.2959149485505847,0.15055093998590238,3
HbA1c平均値_Model2_Slope,0.22296293562172065,0.1687510474092826,4.112805197782526,0.011890481206966622,0.2637607828340741,0.48712068378814444,0.24376973831615606,3
HbA1c平均値_Model3_Combined,0.3699534189027104,0.3099489826077304,6.165434453613242,0.0005367561061020981,0.4184674485253313,0.4784155052563509,0.12101656915549355,1
BMI肥満率_Model1_Walkability,0.3246056710008488,0.2774851364195128,6.888836764798105,0.0006857511980209499,0.2024098815967873,0.14751321359818678,1.9736381992115481,3
BMI肥満率_Model2_Slope,0.43238385518977684,0.3927827288076683,10.91847365697971,1.855300181811829e-05,0.7169110909890289,0.0798009908834827,4.083060047844855,2
BMI肥満率_Model3_Combined,0.4368391219869503,0.3832047526523741,8.144761044208561,5.8987175780969414e-05,0.5953631186916841,0.029116920188882463,3.2403281834206377,3
腹囲平均値_Model1_Walkability,0.3829182727755588,0.3398660592482723,8.894276075557979,0.00010589230475483248,0.08955713225787437,0.9726316453956967,1.2441578134492581,4
腹囲平均値_Model2_Slope,0.49033590306383645,0.4547779428124763,13.789764643349557,1.93954778164123e-06,0.7485228056627686,0.12691675159690613,2.9197269189333515,3
腹囲平均値_Model3_Combined,0.4928576181061124,0.4445583436400278,10.204244754280817,7.2899453173719265e-06,0.8185786396874699,0.14571471884809195,2.3167283655353046,4
中性脂肪平均値_Model1_Walkability,0.17736498742191997,0.11997184700949581,3.0903516717744344,0.03689049615805682,0.022130147514032625,0.3505119168065977,1.42042659134109,4
中性脂肪平均値_Model2_Slope,0.17475149565102255,0.11717601860341953,3.035172344408697,0.03925943799473995,0.046024678295387624,0.2847375142946671,1.6754317333491053,4
中性脂肪平均値_Model3_Combined,0.1989018225363921,0.12260675801604837,2.6070077243771927,0.04914435102605337,0.05588955512738206,0.4349362563057404,1.6165363685105778,4
